n,strategy_name,dataset_source,legacy_compatibility_status,metric_semantic_warning,order_json,order_hash,first_track_norm,last_track_norm,normalized_mean_jump,normalized_max_jump,adjacent_jump_count,long_jump_count,parity_switch_rate,monotonicity_fraction,direction_reversal_count,jump_entropy,early_center_bias,late_center_bias,edge_early_count,center_early_count,max_unvisited_gap_proxy_mean_norm,max_unvisited_gap_proxy_max_norm,odd_even_transition_count,mean_signed_jump,jump_std_norm,target_reward_combined204_plus_N32_mapped_u2_primary,target_u2_score_combined204_plus_N32_rank,target_peeq_score_combined204_plus_N32_rank,target_surfaceT_score_combined204_plus_N32_rank,target_mises_score_combined204_plus_N32_rank
12,N12_A01_raster_left_to_right,probe60_run08,NATIVE_STAGE3,False,"[0,1,2,3,4,5,6,7,8,9,10,11]",6c72386511060f50,0.0,1.0,0.09090909090909091,0.09090909090909091,11,0,1.0,1.0,0,-1.000088900581841e-12,0.8181818181818182,0.8181818181818182,3,0,0.4583333333333333,0.9166666666666666,11.0,0.09090909090909091,0.0,0.0842857142857143,0.05714285714285716,0.02857142857142858,0.0,0.8285714285714285
12,N12_A02_odd_even_interlaced,probe60_run08,NATIVE_STAGE3,False,"[0,2,4,6,8,10,1,3,5,7,9,11]",f9b4db52c8f31e01,0.0,1.0,0.23966942148760328,0.8181818181818182,0,1,0.09090909090909091,0.8,2,0.3046360973472382,0.6363636363636364,0.6363636363636364,2,1,0.2847222222222222,0.9166666666666666,1.0,0.09090909090909091,0.18294168281965828,0.6071428571428572,0.7142857142857143,0.6285714285714286,0.08571428571428574,0.17142857142857137
12,N12_A03_greedy_maximin_distance,probe60_run08,NATIVE_STAGE3,False,"[0,11,5,8,2,1,3,4,6,7,9,10]",dc4a3c8c9a841ddc,0.0,0.9090909090909091,0.2975206611570248,1.0,4,3,0.5454545454545454,0.6,4,1.4681399390112087,0.6969696969696969,0.5757575757575758,2,1,0.2986111111111111,0.9166666666666666,6.0,0.08264462809917356,0.27435029211070794,0.23285714285714282,0.2571428571428571,0.22857142857142854,0.11428571428571432,0.17142857142857137
12,N12_A04_method_c_u2_first_engineering,probe60_run08,NATIVE_STAGE3,False,"[0,2,4,6,8,10,5,3,1,7,9,11]",5a7114c76e42484a,0.0,1.0,0.23966942148760328,0.5454545454545454,0,1,0.09090909090909091,0.8,2,0.6001660731566456,0.6363636363636364,0.6363636363636364,2,1,0.2847222222222222,0.9166666666666666,1.0,0.09090909090909091,0.12424211882952817,0.6614285714285714,0.6571428571428571,0.8285714285714285,0.6,0.17142857142857137
12,N12_A05_center_out,probe60_run08,NATIVE_STAGE3,False,"[5,6,4,7,3,8,2,9,1,10,0,11]",c66a9e8f3400221d,0.45454545454545453,1.0,0.5454545454545454,1.0,1,6,0.5454545454545454,0.0,10,2.3978952727873706,0.15151515151515152,0.9393939393939394,0,3,0.25,0.5,6.0,0.04958677685950413,0.2874797872880345,0.19357142857142856,0.0,0.2571428571428571,0.9428571428571428,0.9571428571428572
12,N12_A06_edge_in_alternating,probe60_run08,NATIVE_STAGE3,False,"[0,11,1,10,2,9,3,8,4,7,5,6]",1fcc1c7ac7dd0a02,0.0,0.5454545454545454,0.5454545454545454,1.0,1,6,0.5454545454545454,0.0,10,2.3978952727873706,0.9393939393939394,0.15151515151515152,3,0,0.4583333333333333,0.9166666666666666,6.0,0.04958677685950413,0.2874797872880345,0.24000000000000005,0.1428571428571429,0.0,0.9714285714285714,1.0
12,N12_A07_regular_jump_coprime,probe60_run08,NATIVE_STAGE3,False,"[0,5,10,3,8,1,6,11,4,9,2,7]",498bd38c4551b950,0.0,0.6363636363636364,0.5206611570247934,0.6363636363636364,0,4,1.0,0.2,8,0.6554817738993928,0.6363636363636364,0.5151515151515151,2,1,0.23611111111111113,0.9166666666666666,11.0,0.05785123966942149,0.08746285325833357,0.44214285714285717,0.4,0.48571428571428577,0.5142857142857142,0.6714285714285715
12,N12_A08_block_interleaved_quarters,probe60_run08,NATIVE_STAGE3,False,"[0,3,6,9,1,4,7,10,2,5,8,11]",6ca5ab9081431f7c,0.0,1.0,0.35537190082644626,0.7272727272727273,0,2,0.8181818181818182,0.6,4,0.47413931305583734,0.5151515151515151,0.5151515151515151,1,2,0.25,0.9166666666666666,9.0,0.09090909090909091,0.17531573087269772,0.8071428571428572,0.8857142857142857,0.9142857142857143,0.4,0.17142857142857137
12,N12_A09_center_edge_alternating,probe60_run08,NATIVE_STAGE3,False,"[5,0,6,11,4,1,7,10,3,2,8,9]",1ec59ebbeed53e75,0.45454545454545453,0.8181818181818182,0.4132231404958678,0.6363636363636364,2,5,0.7272727272727273,0.5,5,1.5941666991130168,0.393939393939394,0.5757575757575758,1,2,0.2708333333333333,0.5,8.0,0.03305785123966942,0.19133614715355743,0.2328571428571429,0.11428571428571432,0.08571428571428574,1.0,0.8285714285714285
12,N12_A10_graph_pointer_policy_zero_shot_or_proxy_best,probe60_run08,NATIVE_STAGE3,False,"[0,11,2,5,4,8,6,1,10,3,7,9]",e60e17734f8cfcc1,0.0,0.8181818181818182,0.47107438016528924,1.0,1,4,0.6363636363636364,0.2,8,2.019814992484946,0.8787878787878788,0.45454545454545453,3,0,0.3333333333333333,0.9166666666666666,7.0,0.0743801652892562,0.28961017302372283,0.4457142857142858,0.48571428571428577,0.37142857142857144,0.1428571428571429,0.8285714285714285
