run_id,batch_name,n,strategy_name,job_name,case_dir,scan_order_json,cae_path,inp_path,jnl_path,generation_status,inp_check_status,teacher_validated,solver_status,notes
stageL_v02K2_CAE_INP_handoff,stage3_ppo_v02K2_targeted_N24_N40_batch32_v01,40,PPOV02K2_N40_B06_top_reward,J2D_PPOV02K2_N40_B06_top_reward,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_v02K2_targeted_N24_N40_batch32_v01\N40PPOV02K2_N40_B06_top_reward,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_v02K2_targeted_N24_N40_batch32_v01\N40PPOV02K2_N40_B06_top_reward\scan_order_PPOV02K2_N40_B06_top_reward.json,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_v02K2_targeted_N24_N40_batch32_v01\N40PPOV02K2_N40_B06_top_reward\J2D_PPOV02K2_N40_B06_top_reward.cae,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_v02K2_targeted_N24_N40_batch32_v01\N40PPOV02K2_N40_B06_top_reward\J2D_PPOV02K2_N40_B06_top_reward.inp,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_v02K2_targeted_N24_N40_batch32_v01\N40PPOV02K2_N40_B06_top_reward\J2D_PPOV02K2_N40_B06_top_reward.jnl,GENERATED,PENDING,False,NOT_SUBMITTED,Stage L PPO v02K2 CAE/INP generation only; no teacher metrics yet.
stageL_v02K2_CAE_INP_handoff,stage3_ppo_v02K2_targeted_N24_N40_batch32_v01,40,PPOV02K2_N40_B07_top_reward,J2D_PPOV02K2_N40_B07_top_reward,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_v02K2_targeted_N24_N40_batch32_v01\N40PPOV02K2_N40_B07_top_reward,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_v02K2_targeted_N24_N40_batch32_v01\N40PPOV02K2_N40_B07_top_reward\scan_order_PPOV02K2_N40_B07_top_reward.json,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_v02K2_targeted_N24_N40_batch32_v01\N40PPOV02K2_N40_B07_top_reward\J2D_PPOV02K2_N40_B07_top_reward.cae,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_v02K2_targeted_N24_N40_batch32_v01\N40PPOV02K2_N40_B07_top_reward\J2D_PPOV02K2_N40_B07_top_reward.inp,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_v02K2_targeted_N24_N40_batch32_v01\N40PPOV02K2_N40_B07_top_reward\J2D_PPOV02K2_N40_B07_top_reward.jnl,GENERATED,PENDING,False,NOT_SUBMITTED,Stage L PPO v02K2 CAE/INP generation only; no teacher metrics yet.
stageL_v02K2_CAE_INP_handoff,stage3_ppo_v02K2_targeted_N24_N40_batch32_v01,40,PPOV02K2_N40_B08_top_reward,J2D_PPOV02K2_N40_B08_top_reward,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_v02K2_targeted_N24_N40_batch32_v01\N40PPOV02K2_N40_B08_top_reward,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_v02K2_targeted_N24_N40_batch32_v01\N40PPOV02K2_N40_B08_top_reward\scan_order_PPOV02K2_N40_B08_top_reward.json,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_v02K2_targeted_N24_N40_batch32_v01\N40PPOV02K2_N40_B08_top_reward\J2D_PPOV02K2_N40_B08_top_reward.cae,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_v02K2_targeted_N24_N40_batch32_v01\N40PPOV02K2_N40_B08_top_reward\J2D_PPOV02K2_N40_B08_top_reward.inp,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_v02K2_targeted_N24_N40_batch32_v01\N40PPOV02K2_N40_B08_top_reward\J2D_PPOV02K2_N40_B08_top_reward.jnl,GENERATED,PENDING,False,NOT_SUBMITTED,Stage L PPO v02K2 CAE/INP generation only; no teacher metrics yet.
stageL_v02K2_CAE_INP_handoff,stage3_ppo_v02K2_targeted_N24_N40_batch32_v01,40,PPOV02K2_N40_B09_diverse_tophalf,J2D_PPOV02K2_N40_B09_diverse_tophalf,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_v02K2_targeted_N24_N40_batch32_v01\N40PPOV02K2_N40_B09_diverse_tophalf,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_v02K2_targeted_N24_N40_batch32_v01\N40PPOV02K2_N40_B09_diverse_tophalf\scan_order_PPOV02K2_N40_B09_diverse_tophalf.json,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_v02K2_targeted_N24_N40_batch32_v01\N40PPOV02K2_N40_B09_diverse_tophalf\J2D_PPOV02K2_N40_B09_diverse_tophalf.cae,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_v02K2_targeted_N24_N40_batch32_v01\N40PPOV02K2_N40_B09_diverse_tophalf\J2D_PPOV02K2_N40_B09_diverse_tophalf.inp,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_v02K2_targeted_N24_N40_batch32_v01\N40PPOV02K2_N40_B09_diverse_tophalf\J2D_PPOV02K2_N40_B09_diverse_tophalf.jnl,GENERATED,PENDING,False,NOT_SUBMITTED,Stage L PPO v02K2 CAE/INP generation only; no teacher metrics yet.
stageL_v02K2_CAE_INP_handoff,stage3_ppo_v02K2_targeted_N24_N40_batch32_v01,40,PPOV02K2_N40_B10_diverse_tophalf,J2D_PPOV02K2_N40_B10_diverse_tophalf,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_v02K2_targeted_N24_N40_batch32_v01\N40PPOV02K2_N40_B10_diverse_tophalf,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_v02K2_targeted_N24_N40_batch32_v01\N40PPOV02K2_N40_B10_diverse_tophalf\scan_order_PPOV02K2_N40_B10_diverse_tophalf.json,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_v02K2_targeted_N24_N40_batch32_v01\N40PPOV02K2_N40_B10_diverse_tophalf\J2D_PPOV02K2_N40_B10_diverse_tophalf.cae,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_v02K2_targeted_N24_N40_batch32_v01\N40PPOV02K2_N40_B10_diverse_tophalf\J2D_PPOV02K2_N40_B10_diverse_tophalf.inp,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_v02K2_targeted_N24_N40_batch32_v01\N40PPOV02K2_N40_B10_diverse_tophalf\J2D_PPOV02K2_N40_B10_diverse_tophalf.jnl,GENERATED,PENDING,False,NOT_SUBMITTED,Stage L PPO v02K2 CAE/INP generation only; no teacher metrics yet.
stageL_v02K2_CAE_INP_handoff,stage3_ppo_v02K2_targeted_N24_N40_batch32_v01,40,PPOV02K2_N40_B11_diverse_tophalf,J2D_PPOV02K2_N40_B11_diverse_tophalf,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_v02K2_targeted_N24_N40_batch32_v01\N40PPOV02K2_N40_B11_diverse_tophalf,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_v02K2_targeted_N24_N40_batch32_v01\N40PPOV02K2_N40_B11_diverse_tophalf\scan_order_PPOV02K2_N40_B11_diverse_tophalf.json,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_v02K2_targeted_N24_N40_batch32_v01\N40PPOV02K2_N40_B11_diverse_tophalf\J2D_PPOV02K2_N40_B11_diverse_tophalf.cae,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_v02K2_targeted_N24_N40_batch32_v01\N40PPOV02K2_N40_B11_diverse_tophalf\J2D_PPOV02K2_N40_B11_diverse_tophalf.inp,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_v02K2_targeted_N24_N40_batch32_v01\N40PPOV02K2_N40_B11_diverse_tophalf\J2D_PPOV02K2_N40_B11_diverse_tophalf.jnl,GENERATED,PENDING,False,NOT_SUBMITTED,Stage L PPO v02K2 CAE/INP generation only; no teacher metrics yet.
stageL_v02K2_CAE_INP_handoff,stage3_ppo_v02K2_targeted_N24_N40_batch32_v01,40,PPOV02K2_N40_B12_diverse_tophalf,J2D_PPOV02K2_N40_B12_diverse_tophalf,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_v02K2_targeted_N24_N40_batch32_v01\N40PPOV02K2_N40_B12_diverse_tophalf,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_v02K2_targeted_N24_N40_batch32_v01\N40PPOV02K2_N40_B12_diverse_tophalf\scan_order_PPOV02K2_N40_B12_diverse_tophalf.json,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_v02K2_targeted_N24_N40_batch32_v01\N40PPOV02K2_N40_B12_diverse_tophalf\J2D_PPOV02K2_N40_B12_diverse_tophalf.cae,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_v02K2_targeted_N24_N40_batch32_v01\N40PPOV02K2_N40_B12_diverse_tophalf\J2D_PPOV02K2_N40_B12_diverse_tophalf.inp,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_v02K2_targeted_N24_N40_batch32_v01\N40PPOV02K2_N40_B12_diverse_tophalf\J2D_PPOV02K2_N40_B12_diverse_tophalf.jnl,GENERATED,PENDING,False,NOT_SUBMITTED,Stage L PPO v02K2 CAE/INP generation only; no teacher metrics yet.
stageL_v02K2_CAE_INP_handoff,stage3_ppo_v02K2_targeted_N24_N40_batch32_v01,40,PPOV02K2_N40_B13_diverse_tophalf,J2D_PPOV02K2_N40_B13_diverse_tophalf,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_v02K2_targeted_N24_N40_batch32_v01\N40PPOV02K2_N40_B13_diverse_tophalf,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_v02K2_targeted_N24_N40_batch32_v01\N40PPOV02K2_N40_B13_diverse_tophalf\scan_order_PPOV02K2_N40_B13_diverse_tophalf.json,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_v02K2_targeted_N24_N40_batch32_v01\N40PPOV02K2_N40_B13_diverse_tophalf\J2D_PPOV02K2_N40_B13_diverse_tophalf.cae,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_v02K2_targeted_N24_N40_batch32_v01\N40PPOV02K2_N40_B13_diverse_tophalf\J2D_PPOV02K2_N40_B13_diverse_tophalf.inp,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_v02K2_targeted_N24_N40_batch32_v01\N40PPOV02K2_N40_B13_diverse_tophalf\J2D_PPOV02K2_N40_B13_diverse_tophalf.jnl,GENERATED,PENDING,False,NOT_SUBMITTED,Stage L PPO v02K2 CAE/INP generation only; no teacher metrics yet.
stageL_v02K2_CAE_INP_handoff,stage3_ppo_v02K2_targeted_N24_N40_batch32_v01,40,PPOV02K2_N40_B14_novelty_tophalf,J2D_PPOV02K2_N40_B14_novelty_tophalf,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_v02K2_targeted_N24_N40_batch32_v01\N40PPOV02K2_N40_B14_novelty_tophalf,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_v02K2_targeted_N24_N40_batch32_v01\N40PPOV02K2_N40_B14_novelty_tophalf\scan_order_PPOV02K2_N40_B14_novelty_tophalf.json,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_v02K2_targeted_N24_N40_batch32_v01\N40PPOV02K2_N40_B14_novelty_tophalf\J2D_PPOV02K2_N40_B14_novelty_tophalf.cae,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_v02K2_targeted_N24_N40_batch32_v01\N40PPOV02K2_N40_B14_novelty_tophalf\J2D_PPOV02K2_N40_B14_novelty_tophalf.inp,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_v02K2_targeted_N24_N40_batch32_v01\N40PPOV02K2_N40_B14_novelty_tophalf\J2D_PPOV02K2_N40_B14_novelty_tophalf.jnl,GENERATED,PENDING,False,NOT_SUBMITTED,Stage L PPO v02K2 CAE/INP generation only; no teacher metrics yet.
stageL_v02K2_CAE_INP_handoff,stage3_ppo_v02K2_targeted_N24_N40_batch32_v01,40,PPOV02K2_N40_B15_novelty_tophalf,J2D_PPOV02K2_N40_B15_novelty_tophalf,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_v02K2_targeted_N24_N40_batch32_v01\N40PPOV02K2_N40_B15_novelty_tophalf,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_v02K2_targeted_N24_N40_batch32_v01\N40PPOV02K2_N40_B15_novelty_tophalf\scan_order_PPOV02K2_N40_B15_novelty_tophalf.json,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_v02K2_targeted_N24_N40_batch32_v01\N40PPOV02K2_N40_B15_novelty_tophalf\J2D_PPOV02K2_N40_B15_novelty_tophalf.cae,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_v02K2_targeted_N24_N40_batch32_v01\N40PPOV02K2_N40_B15_novelty_tophalf\J2D_PPOV02K2_N40_B15_novelty_tophalf.inp,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_v02K2_targeted_N24_N40_batch32_v01\N40PPOV02K2_N40_B15_novelty_tophalf\J2D_PPOV02K2_N40_B15_novelty_tophalf.jnl,GENERATED,PENDING,False,NOT_SUBMITTED,Stage L PPO v02K2 CAE/INP generation only; no teacher metrics yet.
stageL_v02K2_CAE_INP_handoff,stage3_ppo_v02K2_targeted_N24_N40_batch32_v01,40,PPOV02K2_N40_B16_novelty_tophalf,J2D_PPOV02K2_N40_B16_novelty_tophalf,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_v02K2_targeted_N24_N40_batch32_v01\N40PPOV02K2_N40_B16_novelty_tophalf,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_v02K2_targeted_N24_N40_batch32_v01\N40PPOV02K2_N40_B16_novelty_tophalf\scan_order_PPOV02K2_N40_B16_novelty_tophalf.json,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_v02K2_targeted_N24_N40_batch32_v01\N40PPOV02K2_N40_B16_novelty_tophalf\J2D_PPOV02K2_N40_B16_novelty_tophalf.cae,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_v02K2_targeted_N24_N40_batch32_v01\N40PPOV02K2_N40_B16_novelty_tophalf\J2D_PPOV02K2_N40_B16_novelty_tophalf.inp,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_v02K2_targeted_N24_N40_batch32_v01\N40PPOV02K2_N40_B16_novelty_tophalf\J2D_PPOV02K2_N40_B16_novelty_tophalf.jnl,GENERATED,PENDING,False,NOT_SUBMITTED,Stage L PPO v02K2 CAE/INP generation only; no teacher metrics yet.
