n,strategy_name,dataset_source,order_json,candidate_family,candidate_source,generation_method,selection_bucket,priority_role,u2_range,peeq_max,surface_t_proxy,surface_t_proxy_mpa,mises_max,u2_rank_combined172_within_n,peeq_rank_combined172_within_n,surfaceT_rank_combined172_within_n,mises_rank_combined172_within_n,u2_cost_minmax_combined172_within_n,peeq_cost_minmax_combined172_within_n,surfaceT_cost_minmax_combined172_within_n,mises_cost_minmax_combined172_within_n,target_u2_score_combined172_rank,target_peeq_score_combined172_rank,target_surfaceT_score_combined172_rank,target_mises_score_combined172_rank,target_reward_combined172_u2_primary,reward_rank_combined172_within_n,combined172_pareto_flag_u2_peeq,combined172_pareto_flag_u2_peeq_surfaceT_mises,is_probe60,is_batch20,is_batch28,is_shortlist64_run27,teacher_validation_status
12,N12_A01_raster_left_to_right,probe60_run08,"[0,1,2,3,4,5,6,7,8,9,10,11]",raster,,,,,0.0001314298706347472,0.172713503241539,585930688.0,585.930688,579938304.0,30.0,31.0,32.0,7.0,0.8005559020052946,0.9253590101392108,1.0,0.17857142857142858,0.06451612903225812,0.032258064516129004,0.0,0.8064516129032258,0.08870967741935487,32.0,False,False,True,False,False,False,PASS_ODB_EXTRACTED
12,N12_A02_odd_even_interlaced,probe60_run08,"[0,2,4,6,8,10,1,3,5,7,9,11]",odd_even,,,,,4.044348497700412e-05,0.14851008355617523,585297728.0,585.297728,579939584.0,10.0,14.0,29.0,26.5,0.1265925005322361,0.2339174440572509,0.8777563532087412,0.8928571428571429,0.7096774193548387,0.5806451612903225,0.09677419354838712,0.17741935483870963,0.5959677419354839,13.0,False,False,True,False,False,False,PASS_ODB_EXTRACTED
12,N12_A03_greedy_maximin_distance,probe60_run08,"[0,11,5,8,2,1,3,4,6,7,9,10]",maximin,,,,,8.175894481610158e-05,0.16098161041736603,585035712.0,585.035712,579939584.0,23.0,25.0,28.0,26.5,0.43262848212759913,0.5902031332877555,0.8271531691881736,0.8928571428571429,0.29032258064516125,0.22580645161290325,0.12903225806451613,0.17741935483870963,0.25564516129032255,26.0,False,False,True,False,False,False,PASS_ODB_EXTRACTED
12,N12_A04_method_c_u2_first_engineering,probe60_run08,"[0,2,4,6,8,10,5,3,1,7,9,11]",method_c,,,,,4.4116221033618785e-05,0.1464761346578598,581743296.0,581.743296,579939584.0,12.0,7.0,13.0,26.5,0.15379755618462665,0.1758117371007936,0.19128844062098288,0.8928571428571429,0.6451612903225806,0.8064516129032258,0.6129032258064516,0.17741935483870963,0.6508064516129033,9.0,False,True,True,False,False,False,PASS_ODB_EXTRACTED
12,N12_A05_center_out,probe60_run08,"[5,6,4,7,3,8,2,9,1,10,0,11]",center_out,,,,,0.0001583552163992863,0.16032162308692932,580972800.0,580.9728,579938048.0,32.0,24.0,3.0,2.5,1.0,0.5713486623376292,0.04248244833382775,0.03571428571428571,0.0,0.25806451612903225,0.935483870967742,0.9516129032258065,0.19274193548387097,29.0,False,True,True,False,False,False,PASS_ODB_EXTRACTED
12,N12_A06_edge_in_alternating,probe60_run08,"[0,11,1,10,2,9,3,8,4,7,5,6]",edge_in,,,,,0.00010128901044481609,0.17532625794410706,580798976.0,580.798976,579937984.0,27.0,32.0,2.0,1.0,0.5772935258807723,1.0,0.008911796697320281,0.0,0.16129032258064513,0.0,0.967741935483871,1.0,0.25161290322580643,27.0,False,True,True,False,False,False,PASS_ODB_EXTRACTED
12,N12_A07_regular_jump_coprime,probe60_run08,"[0,5,10,3,8,1,6,11,4,9,2,7]",regular_jump,,,,,6.379491514962865e-05,0.15351411700248718,581880128.0,581.880128,579938432.0,18.0,18.0,15.0,12.0,0.29956353564515037,0.37687231439471663,0.21771482250568575,0.25,0.4516129032258065,0.4516129032258065,0.5483870967741935,0.6451612903225806,0.47096774193548385,19.0,False,True,True,False,False,False,PASS_ODB_EXTRACTED
12,N12_A08_block_interleaved_quarters,probe60_run08,"[0,3,6,9,1,4,7,10,2,5,8,11]",block_interleaved,,,,,3.6826456380367745e-05,0.14324450492858887,582462656.0,582.462656,579939584.0,4.0,4.0,19.0,26.5,0.0998000867156871,0.08349076964860555,0.33021853060417283,0.8928571428571429,0.9032258064516129,0.9032258064516129,0.4193548387096774,0.17741935483870963,0.8185483870967744,5.0,False,False,True,False,False,False,PASS_ODB_EXTRACTED
12,N12_A09_center_edge_alternating,probe60_run08,"[5,0,6,11,4,1,7,10,3,2,8,9]",center_edge,,,,,0.00010808459228428546,0.1680927276611328,580752832.0,580.752832,579938304.0,28.0,30.0,1.0,7.0,0.6276304352811026,0.793353023160379,0.0,0.17857142857142858,0.12903225806451613,0.06451612903225812,1.0,0.8064516129032258,0.2370967741935484,28.0,False,True,True,False,False,False,PASS_ODB_EXTRACTED
12,N12_A10_graph_pointer_policy_zero_shot_or_proxy_best,probe60_run08,"[0,11,2,5,4,8,6,1,10,3,7,9]",graph_pointer_proxy,,,,,5.570924804487731e-05,0.15651747584342957,583114560.0,583.11456,579938304.0,17.0,20.0,27.0,7.0,0.2396705784109131,0.4626720554016904,0.45612083456936614,0.17857142857142858,0.4838709677419355,0.3870967741935484,0.16129032258064513,0.8064516129032258,0.4483870967741936,20.0,False,True,True,False,False,False,PASS_ODB_EXTRACTED
