case_i,case_j,n,strategy_i,strategy_j,order_i,order_j,reward_mean_all_i,reward_mean_all_j,u2_rank_i,u2_rank_j,peeq_rank_i,peeq_rank_j,surfaceT_rank_i,surfaceT_rank_j,preferred_by_reward_mean,preferred_by_u2,reward_margin,u2_rank_margin,peeq_rank_margin,surfaceT_rank_margin
N12_A03_greedy_maximin_distance,N12_A05_center_out,12,N12_A03_greedy_maximin_distance,N12_A05_center_out,"[0,11,5,8,2,1,3,4,6,7,9,10]","[5,6,4,7,3,8,2,9,1,10,0,11]",0.4257142857142857,0.13285714285714287,8.0,15.0,10.0,9.0,13.0,3.0,i,i,0.2928571428571428,7.0,1.0,10.0
N12_A03_greedy_maximin_distance,N12_A06_edge_in_alternating,12,N12_A03_greedy_maximin_distance,N12_A06_edge_in_alternating,"[0,11,5,8,2,1,3,4,6,7,9,10]","[0,11,1,10,2,9,3,8,4,7,5,6]",0.4257142857142857,0.2371428571428571,8.0,11.0,10.0,15.0,13.0,2.0,i,i,0.1885714285714286,3.0,5.0,11.0
N12_A03_greedy_maximin_distance,N12_A07_regular_jump_coprime,12,N12_A03_greedy_maximin_distance,N12_A07_regular_jump_coprime,"[0,11,5,8,2,1,3,4,6,7,9,10]","[0,5,10,3,8,1,6,11,4,9,2,7]",0.4257142857142857,0.6928571428571428,8.0,5.0,10.0,5.0,13.0,8.0,j,j,0.2671428571428571,3.0,5.0,5.0
N12_A03_greedy_maximin_distance,N12_A08_block_interleaved_quarters,12,N12_A03_greedy_maximin_distance,N12_A08_block_interleaved_quarters,"[0,11,5,8,2,1,3,4,6,7,9,10]","[0,3,6,9,1,4,7,10,2,5,8,11]",0.4257142857142857,0.9042857142857142,8.0,1.0,10.0,2.0,13.0,11.0,j,j,0.47857142857142854,7.0,8.0,2.0
N12_A03_greedy_maximin_distance,N12_A09_center_edge_alternating,12,N12_A03_greedy_maximin_distance,N12_A09_center_edge_alternating,"[0,11,5,8,2,1,3,4,6,7,9,10]","[5,0,6,11,4,1,7,10,3,2,8,9]",0.4257142857142857,0.2235714285714286,8.0,12.0,10.0,13.0,13.0,1.0,i,i,0.20214285714285712,4.0,3.0,12.0
N12_A03_greedy_maximin_distance,N12_A10_graph_pointer_policy_zero_shot_or_proxy_best,12,N12_A03_greedy_maximin_distance,N12_A10_graph_pointer_policy_zero_shot_or_proxy_best,"[0,11,5,8,2,1,3,4,6,7,9,10]","[0,11,2,5,4,8,6,1,10,3,7,9]",0.4257142857142857,0.69,8.0,4.0,10.0,6.0,13.0,12.0,j,j,0.26428571428571423,4.0,4.0,1.0
N12_A03_greedy_maximin_distance,N12_A11_graph_pointer_policy_diverse_01,12,N12_A03_greedy_maximin_distance,N12_A11_graph_pointer_policy_diverse_01,"[0,11,5,8,2,1,3,4,6,7,9,10]","[0,5,11,10,1,3,8,2,9,6,4,7]",0.4257142857142857,0.4985714285714285,8.0,6.0,10.0,12.0,13.0,10.0,j,j,0.07285714285714279,2.0,2.0,3.0
N12_A03_greedy_maximin_distance,N12_A12_graph_pointer_policy_diverse_02,12,N12_A03_greedy_maximin_distance,N12_A12_graph_pointer_policy_diverse_02,"[0,11,5,8,2,1,3,4,6,7,9,10]","[4,7,3,8,2,9,1,10,0,11,5,6]",0.4257142857142857,0.1407142857142857,8.0,14.0,10.0,11.0,13.0,5.0,i,i,0.28500000000000003,6.0,1.0,8.0
N12_A03_greedy_maximin_distance,N12_A13_graph_pointer_policy_anti_odd_even_novelty,12,N12_A03_greedy_maximin_distance,N12_A13_graph_pointer_policy_anti_odd_even_novelty,"[0,11,5,8,2,1,3,4,6,7,9,10]","[1,10,3,8,5,6,7,4,9,2,11,0]",0.4257142857142857,0.6428571428571428,8.0,7.0,10.0,1.0,13.0,9.0,j,j,0.21714285714285708,1.0,9.0,4.0
N12_A03_greedy_maximin_distance,N12_A14_graph_pointer_policy_u2first_proxy,12,N12_A03_greedy_maximin_distance,N12_A14_graph_pointer_policy_u2first_proxy,"[0,11,5,8,2,1,3,4,6,7,9,10]","[0,5,2,6,4,7,8,3,10,1,9,11]",0.4257142857142857,0.42142857142857143,8.0,10.0,10.0,7.0,13.0,7.0,i,i,0.004285714285714282,2.0,3.0,6.0
N12_A03_greedy_maximin_distance,N12_A15_graph_pointer_policy_balanced_dispersion_proxy,12,N12_A03_greedy_maximin_distance,N12_A15_graph_pointer_policy_balanced_dispersion_proxy,"[0,11,5,8,2,1,3,4,6,7,9,10]","[0,5,11,6,4,8,7,2,3,1,9,10]",0.4257142857142857,0.47857142857142854,8.0,9.0,10.0,8.0,13.0,4.0,j,i,0.052857142857142825,1.0,2.0,9.0
N12_A04_method_c_u2_first_engineering,N12_A05_center_out,12,N12_A04_method_c_u2_first_engineering,N12_A05_center_out,"[0,2,4,6,8,10,5,3,1,7,9,11]","[5,6,4,7,3,8,2,9,1,10,0,11]",0.8357142857142857,0.13285714285714287,3.0,15.0,3.0,9.0,6.0,3.0,i,i,0.7028571428571428,12.0,6.0,3.0
N12_A04_method_c_u2_first_engineering,N12_A06_edge_in_alternating,12,N12_A04_method_c_u2_first_engineering,N12_A06_edge_in_alternating,"[0,2,4,6,8,10,5,3,1,7,9,11]","[0,11,1,10,2,9,3,8,4,7,5,6]",0.8357142857142857,0.2371428571428571,3.0,11.0,3.0,15.0,6.0,2.0,i,i,0.5985714285714286,8.0,12.0,4.0
N12_A04_method_c_u2_first_engineering,N12_A07_regular_jump_coprime,12,N12_A04_method_c_u2_first_engineering,N12_A07_regular_jump_coprime,"[0,2,4,6,8,10,5,3,1,7,9,11]","[0,5,10,3,8,1,6,11,4,9,2,7]",0.8357142857142857,0.6928571428571428,3.0,5.0,3.0,5.0,6.0,8.0,i,i,0.1428571428571429,2.0,2.0,2.0
N12_A04_method_c_u2_first_engineering,N12_A08_block_interleaved_quarters,12,N12_A04_method_c_u2_first_engineering,N12_A08_block_interleaved_quarters,"[0,2,4,6,8,10,5,3,1,7,9,11]","[0,3,6,9,1,4,7,10,2,5,8,11]",0.8357142857142857,0.9042857142857142,3.0,1.0,3.0,2.0,6.0,11.0,j,j,0.0685714285714285,2.0,1.0,5.0
N12_A04_method_c_u2_first_engineering,N12_A09_center_edge_alternating,12,N12_A04_method_c_u2_first_engineering,N12_A09_center_edge_alternating,"[0,2,4,6,8,10,5,3,1,7,9,11]","[5,0,6,11,4,1,7,10,3,2,8,9]",0.8357142857142857,0.2235714285714286,3.0,12.0,3.0,13.0,6.0,1.0,i,i,0.6121428571428571,9.0,10.0,5.0
N12_A04_method_c_u2_first_engineering,N12_A10_graph_pointer_policy_zero_shot_or_proxy_best,12,N12_A04_method_c_u2_first_engineering,N12_A10_graph_pointer_policy_zero_shot_or_proxy_best,"[0,2,4,6,8,10,5,3,1,7,9,11]","[0,11,2,5,4,8,6,1,10,3,7,9]",0.8357142857142857,0.69,3.0,4.0,3.0,6.0,6.0,12.0,i,i,0.1457142857142858,1.0,3.0,6.0
N12_A04_method_c_u2_first_engineering,N12_A11_graph_pointer_policy_diverse_01,12,N12_A04_method_c_u2_first_engineering,N12_A11_graph_pointer_policy_diverse_01,"[0,2,4,6,8,10,5,3,1,7,9,11]","[0,5,11,10,1,3,8,2,9,6,4,7]",0.8357142857142857,0.4985714285714285,3.0,6.0,3.0,12.0,6.0,10.0,i,i,0.33714285714285724,3.0,9.0,4.0
N12_A04_method_c_u2_first_engineering,N12_A12_graph_pointer_policy_diverse_02,12,N12_A04_method_c_u2_first_engineering,N12_A12_graph_pointer_policy_diverse_02,"[0,2,4,6,8,10,5,3,1,7,9,11]","[4,7,3,8,2,9,1,10,0,11,5,6]",0.8357142857142857,0.1407142857142857,3.0,14.0,3.0,11.0,6.0,5.0,i,i,0.6950000000000001,11.0,8.0,1.0
N12_A04_method_c_u2_first_engineering,N12_A13_graph_pointer_policy_anti_odd_even_novelty,12,N12_A04_method_c_u2_first_engineering,N12_A13_graph_pointer_policy_anti_odd_even_novelty,"[0,2,4,6,8,10,5,3,1,7,9,11]","[1,10,3,8,5,6,7,4,9,2,11,0]",0.8357142857142857,0.6428571428571428,3.0,7.0,3.0,1.0,6.0,9.0,i,i,0.19285714285714295,4.0,2.0,3.0
N12_A04_method_c_u2_first_engineering,N12_A14_graph_pointer_policy_u2first_proxy,12,N12_A04_method_c_u2_first_engineering,N12_A14_graph_pointer_policy_u2first_proxy,"[0,2,4,6,8,10,5,3,1,7,9,11]","[0,5,2,6,4,7,8,3,10,1,9,11]",0.8357142857142857,0.42142857142857143,3.0,10.0,3.0,7.0,6.0,7.0,i,i,0.4142857142857143,7.0,4.0,1.0
