n,metric,strategy_name,dataset_source,value
12,U2,S3B20_N12_B02_diversity_top,batch20_run14,2.3353248252533376e-05
12,PEEQ,N12_A13_graph_pointer_policy_anti_odd_even_novelty,probe60_run08,0.1403219699859619
12,SurfaceT,N12_A09_center_edge_alternating,probe60_run08,580752832.0
12,Mises,N12_A06_edge_in_alternating,probe60_run08,579937984.0
12,target_reward_combined480_plus_N32_mapped_u2_primary,S3R64VNR_N12_B05_n12_anchor_local,run66_variable_N_recovery_anchor_batch48,0.8643617021276595
12,target_reward_combined480_plus_N32_strict_u2_surfaceT,S3R64VNR_N12_B05_n12_anchor_local,run66_variable_N_recovery_anchor_batch48,0.9042553191489361
16,U2,S3R64VNR_N16_B06_n16_anchor_top,run66_variable_N_recovery_anchor_batch48,3.5666283110913355e-05
16,PEEQ,S3R64VNR_N16_B02_n16_penalty,run66_variable_N_recovery_anchor_batch48,0.1477783918380737
16,SurfaceT,N16_A09_center_edge_alternating,probe60_run08,580899648.0
16,Mises,N16_A07_regular_jump_coprime,probe60_run08,579946752.0
16,target_reward_combined480_plus_N32_mapped_u2_primary,S3R64VNR_N16_B12_n16_uncertainty,run66_variable_N_recovery_anchor_batch48,0.9367021276595746
16,target_reward_combined480_plus_N32_strict_u2_surfaceT,S3R64VNR_N16_B12_n16_uncertainty,run66_variable_N_recovery_anchor_batch48,0.9638297872340426
24,U2,S3R49SCN_N24_B09_median_guard,run51_stricter_constrained_N24_N40_batch32,2.9523077955673216e-05
24,PEEQ,S3R59N40PR40_N24_B09_n24_diversity,run61_custom_N40_focused_batch40,0.1492166519165039
24,SurfaceT,S3R24L64_N24_B06_model_disagreement,shortlist64_run27,580875968.0
24,Mises,N24_A06_edge_in_alternating,probe60_run08,579942784.0
24,target_reward_combined480_plus_N32_mapped_u2_primary,S3R44CNS_N24_B16_uncertainty,run46_constrained_N24_N40_batch32,0.8718579234972679
24,target_reward_combined480_plus_N32_strict_u2_surfaceT,S3R19B28_N24_B08_known_best_mutation,batch28_run20,0.9131147540983606
32,U2,RLU2M_A28_V01,stage2_n32_legacy,4.7092337e-05
32,PEEQ,RLV2O_A015_V01,stage2_n32_legacy,0.1380848805606365
32,SurfaceT,LHYB_MAXH_V01,stage2_n32_legacy,0.0010144115886554
32,Mises,RLV2O_A072_V01,stage2_n32_legacy,1.9332757333333328
32,target_reward_combined480_plus_N32_mapped_u2_primary,RL20_A15_V01,stage2_n32_legacy,0.8783232628398793
32,target_reward_combined480_plus_N32_strict_u2_surfaceT,RLU2M_A28_V01,stage2_n32_legacy,0.9809667673716012
40,U2,S3R64VNR_N40_B15_n40_u2ret_anchor,run66_variable_N_recovery_anchor_batch48,4.5779268475598656e-05
40,PEEQ,S3R39N2440B60_N40_B10_surrogate_top,run41_native_N24_N40_focused_batch60,0.1440253555774688
40,SurfaceT,S3R19B28_N40_B06_uncertainty_calibration,batch28_run20,581119040.0
40,Mises,N40_A07_regular_jump_coprime,probe60_run08,579924032.0
40,target_reward_combined480_plus_N32_mapped_u2_primary,S3R64VNR_N40_B03_n40_penalty_anchor,run66_variable_N_recovery_anchor_batch48,0.9404522613065326
40,target_reward_combined480_plus_N32_strict_u2_surfaceT,S3R64VNR_N40_B15_n40_u2ret_anchor,run66_variable_N_recovery_anchor_batch48,0.9819095477386934
