run_id,batch_name,n,handoff_strategy_name,job_name,case_dir,scan_order_json,cae_path,inp_path,jnl_path,generation_status,inp_check_status,teacher_validated,solver_status,notes
run_35_N32_informed_native_batch32_cae_inp_generation,stage3_run34_N32_informed_native_batch32_v01,40,S3R34N32INF_N40_B02_surrogate_top,J2D_S3R34N32INF_N40_B02_surrogate_top,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run34_N32_informed_native_batch32_v01\N40S3R34N32INF_N40_B02_surrogate_top,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run34_N32_informed_native_batch32_v01\N40S3R34N32INF_N40_B02_surrogate_top\scan_order_S3R34N32INF_N40_B02_surrogate_top.json,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run34_N32_informed_native_batch32_v01\N40S3R34N32INF_N40_B02_surrogate_top\J2D_S3R34N32INF_N40_B02_surrogate_top.cae,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run34_N32_informed_native_batch32_v01\N40S3R34N32INF_N40_B02_surrogate_top\J2D_S3R34N32INF_N40_B02_surrogate_top.inp,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run34_N32_informed_native_batch32_v01\N40S3R34N32INF_N40_B02_surrogate_top\J2D_S3R34N32INF_N40_B02_surrogate_top.jnl,GENERATED,PASS,False,NOT_SUBMITTED,Run35 N32_informed_native_batch32 CAE/INP generation only; not teacher-validated.
run_35_N32_informed_native_batch32_cae_inp_generation,stage3_run34_N32_informed_native_batch32_v01,40,S3R34N32INF_N40_B03_hybrid_agree,J2D_S3R34N32INF_N40_B03_hybrid_agree,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run34_N32_informed_native_batch32_v01\N40S3R34N32INF_N40_B03_hybrid_agree,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run34_N32_informed_native_batch32_v01\N40S3R34N32INF_N40_B03_hybrid_agree\scan_order_S3R34N32INF_N40_B03_hybrid_agree.json,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run34_N32_informed_native_batch32_v01\N40S3R34N32INF_N40_B03_hybrid_agree\J2D_S3R34N32INF_N40_B03_hybrid_agree.cae,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run34_N32_informed_native_batch32_v01\N40S3R34N32INF_N40_B03_hybrid_agree\J2D_S3R34N32INF_N40_B03_hybrid_agree.inp,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run34_N32_informed_native_batch32_v01\N40S3R34N32INF_N40_B03_hybrid_agree\J2D_S3R34N32INF_N40_B03_hybrid_agree.jnl,GENERATED,PASS,False,NOT_SUBMITTED,Run35 N32_informed_native_batch32 CAE/INP generation only; not teacher-validated.
run_35_N32_informed_native_batch32_cae_inp_generation,stage3_run34_N32_informed_native_batch32_v01,40,S3R34N32INF_N40_B04_hybrid_disagree,J2D_S3R34N32INF_N40_B04_hybrid_disagree,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run34_N32_informed_native_batch32_v01\N40S3R34N32INF_N40_B04_hybrid_disagree,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run34_N32_informed_native_batch32_v01\N40S3R34N32INF_N40_B04_hybrid_disagree\scan_order_S3R34N32INF_N40_B04_hybrid_disagree.json,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run34_N32_informed_native_batch32_v01\N40S3R34N32INF_N40_B04_hybrid_disagree\J2D_S3R34N32INF_N40_B04_hybrid_disagree.cae,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run34_N32_informed_native_batch32_v01\N40S3R34N32INF_N40_B04_hybrid_disagree\J2D_S3R34N32INF_N40_B04_hybrid_disagree.inp,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run34_N32_informed_native_batch32_v01\N40S3R34N32INF_N40_B04_hybrid_disagree\J2D_S3R34N32INF_N40_B04_hybrid_disagree.jnl,GENERATED,PASS,False,NOT_SUBMITTED,Run35 N32_informed_native_batch32 CAE/INP generation only; not teacher-validated.
run_35_N32_informed_native_batch32_cae_inp_generation,stage3_run34_N32_informed_native_batch32_v01,40,S3R34N32INF_N40_B05_uncertainty,J2D_S3R34N32INF_N40_B05_uncertainty,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run34_N32_informed_native_batch32_v01\N40S3R34N32INF_N40_B05_uncertainty,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run34_N32_informed_native_batch32_v01\N40S3R34N32INF_N40_B05_uncertainty\scan_order_S3R34N32INF_N40_B05_uncertainty.json,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run34_N32_informed_native_batch32_v01\N40S3R34N32INF_N40_B05_uncertainty\J2D_S3R34N32INF_N40_B05_uncertainty.cae,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run34_N32_informed_native_batch32_v01\N40S3R34N32INF_N40_B05_uncertainty\J2D_S3R34N32INF_N40_B05_uncertainty.inp,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run34_N32_informed_native_batch32_v01\N40S3R34N32INF_N40_B05_uncertainty\J2D_S3R34N32INF_N40_B05_uncertainty.jnl,GENERATED,PASS,False,NOT_SUBMITTED,Run35 N32_informed_native_batch32 CAE/INP generation only; not teacher-validated.
run_35_N32_informed_native_batch32_cae_inp_generation,stage3_run34_N32_informed_native_batch32_v01,40,S3R34N32INF_N40_B06_diversity,J2D_S3R34N32INF_N40_B06_diversity,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run34_N32_informed_native_batch32_v01\N40S3R34N32INF_N40_B06_diversity,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run34_N32_informed_native_batch32_v01\N40S3R34N32INF_N40_B06_diversity\scan_order_S3R34N32INF_N40_B06_diversity.json,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run34_N32_informed_native_batch32_v01\N40S3R34N32INF_N40_B06_diversity\J2D_S3R34N32INF_N40_B06_diversity.cae,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run34_N32_informed_native_batch32_v01\N40S3R34N32INF_N40_B06_diversity\J2D_S3R34N32INF_N40_B06_diversity.inp,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run34_N32_informed_native_batch32_v01\N40S3R34N32INF_N40_B06_diversity\J2D_S3R34N32INF_N40_B06_diversity.jnl,GENERATED,PASS,False,NOT_SUBMITTED,Run35 N32_informed_native_batch32 CAE/INP generation only; not teacher-validated.
run_35_N32_informed_native_batch32_cae_inp_generation,stage3_run34_N32_informed_native_batch32_v01,40,S3R34N32INF_N40_B07_sentinel,J2D_S3R34N32INF_N40_B07_sentinel,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run34_N32_informed_native_batch32_v01\N40S3R34N32INF_N40_B07_sentinel,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run34_N32_informed_native_batch32_v01\N40S3R34N32INF_N40_B07_sentinel\scan_order_S3R34N32INF_N40_B07_sentinel.json,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run34_N32_informed_native_batch32_v01\N40S3R34N32INF_N40_B07_sentinel\J2D_S3R34N32INF_N40_B07_sentinel.cae,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run34_N32_informed_native_batch32_v01\N40S3R34N32INF_N40_B07_sentinel\J2D_S3R34N32INF_N40_B07_sentinel.inp,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run34_N32_informed_native_batch32_v01\N40S3R34N32INF_N40_B07_sentinel\J2D_S3R34N32INF_N40_B07_sentinel.jnl,GENERATED,PASS,False,NOT_SUBMITTED,Run35 N32_informed_native_batch32 CAE/INP generation only; not teacher-validated.
run_35_N32_informed_native_batch32_cae_inp_generation,stage3_run34_N32_informed_native_batch32_v01,40,S3R34N32INF_N40_B08_n40_best_near,J2D_S3R34N32INF_N40_B08_n40_best_near,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run34_N32_informed_native_batch32_v01\N40S3R34N32INF_N40_B08_n40_best_near,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run34_N32_informed_native_batch32_v01\N40S3R34N32INF_N40_B08_n40_best_near\scan_order_S3R34N32INF_N40_B08_n40_best_near.json,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run34_N32_informed_native_batch32_v01\N40S3R34N32INF_N40_B08_n40_best_near\J2D_S3R34N32INF_N40_B08_n40_best_near.cae,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run34_N32_informed_native_batch32_v01\N40S3R34N32INF_N40_B08_n40_best_near\J2D_S3R34N32INF_N40_B08_n40_best_near.inp,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run34_N32_informed_native_batch32_v01\N40S3R34N32INF_N40_B08_n40_best_near\J2D_S3R34N32INF_N40_B08_n40_best_near.jnl,GENERATED,PASS,False,NOT_SUBMITTED,Run35 N32_informed_native_batch32 CAE/INP generation only; not teacher-validated.
run_35_N32_informed_native_batch32_cae_inp_generation,stage3_run34_N32_informed_native_batch32_v01,40,S3R34N32INF_N40_B09_n40_best_near,J2D_S3R34N32INF_N40_B09_n40_best_near,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run34_N32_informed_native_batch32_v01\N40S3R34N32INF_N40_B09_n40_best_near,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run34_N32_informed_native_batch32_v01\N40S3R34N32INF_N40_B09_n40_best_near\scan_order_S3R34N32INF_N40_B09_n40_best_near.json,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run34_N32_informed_native_batch32_v01\N40S3R34N32INF_N40_B09_n40_best_near\J2D_S3R34N32INF_N40_B09_n40_best_near.cae,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run34_N32_informed_native_batch32_v01\N40S3R34N32INF_N40_B09_n40_best_near\J2D_S3R34N32INF_N40_B09_n40_best_near.inp,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run34_N32_informed_native_batch32_v01\N40S3R34N32INF_N40_B09_n40_best_near\J2D_S3R34N32INF_N40_B09_n40_best_near.jnl,GENERATED,PASS,False,NOT_SUBMITTED,Run35 N32_informed_native_batch32 CAE/INP generation only; not teacher-validated.
run_35_N32_informed_native_batch32_cae_inp_generation,stage3_run34_N32_informed_native_batch32_v01,40,S3R34N32INF_N40_B10_n40_best_near,J2D_S3R34N32INF_N40_B10_n40_best_near,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run34_N32_informed_native_batch32_v01\N40S3R34N32INF_N40_B10_n40_best_near,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run34_N32_informed_native_batch32_v01\N40S3R34N32INF_N40_B10_n40_best_near\scan_order_S3R34N32INF_N40_B10_n40_best_near.json,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run34_N32_informed_native_batch32_v01\N40S3R34N32INF_N40_B10_n40_best_near\J2D_S3R34N32INF_N40_B10_n40_best_near.cae,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run34_N32_informed_native_batch32_v01\N40S3R34N32INF_N40_B10_n40_best_near\J2D_S3R34N32INF_N40_B10_n40_best_near.inp,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run34_N32_informed_native_batch32_v01\N40S3R34N32INF_N40_B10_n40_best_near\J2D_S3R34N32INF_N40_B10_n40_best_near.jnl,GENERATED,PASS,False,NOT_SUBMITTED,Run35 N32_informed_native_batch32 CAE/INP generation only; not teacher-validated.
run_35_N32_informed_native_batch32_cae_inp_generation,stage3_run34_N32_informed_native_batch32_v01,40,S3R34N32INF_N40_B11_n40_best_near,J2D_S3R34N32INF_N40_B11_n40_best_near,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run34_N32_informed_native_batch32_v01\N40S3R34N32INF_N40_B11_n40_best_near,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run34_N32_informed_native_batch32_v01\N40S3R34N32INF_N40_B11_n40_best_near\scan_order_S3R34N32INF_N40_B11_n40_best_near.json,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run34_N32_informed_native_batch32_v01\N40S3R34N32INF_N40_B11_n40_best_near\J2D_S3R34N32INF_N40_B11_n40_best_near.cae,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run34_N32_informed_native_batch32_v01\N40S3R34N32INF_N40_B11_n40_best_near\J2D_S3R34N32INF_N40_B11_n40_best_near.inp,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run34_N32_informed_native_batch32_v01\N40S3R34N32INF_N40_B11_n40_best_near\J2D_S3R34N32INF_N40_B11_n40_best_near.jnl,GENERATED,PASS,False,NOT_SUBMITTED,Run35 N32_informed_native_batch32 CAE/INP generation only; not teacher-validated.
run_35_N32_informed_native_batch32_cae_inp_generation,stage3_run34_N32_informed_native_batch32_v01,40,S3R34N32INF_N40_B12_n40_best_near,J2D_S3R34N32INF_N40_B12_n40_best_near,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run34_N32_informed_native_batch32_v01\N40S3R34N32INF_N40_B12_n40_best_near,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run34_N32_informed_native_batch32_v01\N40S3R34N32INF_N40_B12_n40_best_near\scan_order_S3R34N32INF_N40_B12_n40_best_near.json,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run34_N32_informed_native_batch32_v01\N40S3R34N32INF_N40_B12_n40_best_near\J2D_S3R34N32INF_N40_B12_n40_best_near.cae,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run34_N32_informed_native_batch32_v01\N40S3R34N32INF_N40_B12_n40_best_near\J2D_S3R34N32INF_N40_B12_n40_best_near.inp,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run34_N32_informed_native_batch32_v01\N40S3R34N32INF_N40_B12_n40_best_near\J2D_S3R34N32INF_N40_B12_n40_best_near.jnl,GENERATED,PASS,False,NOT_SUBMITTED,Run35 N32_informed_native_batch32 CAE/INP generation only; not teacher-validated.
