n,handoff_strategy_name,inp_path,exists,size_bytes,node_section_exists,element_section_exists,node_entry_count,element_entry_count,scan_sequence_complete,cool_sequence_complete,step_final_cooling_exists,final_cooling_after_last_cool,final_cooling_controls_visible,heat_flux_entries_exist,all_expected_heat_sets_present,heat_order_text_verified,heat_order_note,n40_cool_initialInc_0p001_verified,n40_cool_initialInc_note,solver_output_count,verdict,notes
12,S3R69SNR_N12_B11_n12_recovery_top,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run69_smallN_recovery_focused_batch40_v01\N12S3R69SNR_N12_B11_n12_recovery_top\J2D_S3R69SNR_N12_B11_n12_recovery_top.inp,True,45990,True,True,399,336,True,True,True,True,True,True,True,True,observed order matches scan_order,True,not an N40 case,0,PASS,
12,S3R69SNR_N12_B12_n12_recovery_top,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run69_smallN_recovery_focused_batch40_v01\N12S3R69SNR_N12_B12_n12_recovery_top\J2D_S3R69SNR_N12_B12_n12_recovery_top.inp,True,45990,True,True,399,336,True,True,True,True,True,True,True,True,observed order matches scan_order,True,not an N40 case,0,PASS,
12,S3R69SNR_N12_B13_n12_u2_safe,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run69_smallN_recovery_focused_batch40_v01\N12S3R69SNR_N12_B13_n12_u2_safe\J2D_S3R69SNR_N12_B13_n12_u2_safe.inp,True,45985,True,True,399,336,True,True,True,True,True,True,True,True,observed order matches scan_order,True,not an N40 case,0,PASS,
12,S3R69SNR_N12_B14_n12_u2_safe,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run69_smallN_recovery_focused_batch40_v01\N12S3R69SNR_N12_B14_n12_u2_safe\J2D_S3R69SNR_N12_B14_n12_u2_safe.inp,True,45985,True,True,399,336,True,True,True,True,True,True,True,True,observed order matches scan_order,True,not an N40 case,0,PASS,
12,S3R69SNR_N12_B15_n12_u2_safe,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run69_smallN_recovery_focused_batch40_v01\N12S3R69SNR_N12_B15_n12_u2_safe\J2D_S3R69SNR_N12_B15_n12_u2_safe.inp,True,45985,True,True,399,336,True,True,True,True,True,True,True,True,observed order matches scan_order,True,not an N40 case,0,PASS,
12,S3R69SNR_N12_B16_n12_uncertainty,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run69_smallN_recovery_focused_batch40_v01\N12S3R69SNR_N12_B16_n12_uncertainty\J2D_S3R69SNR_N12_B16_n12_uncertainty.inp,True,45989,True,True,399,336,True,True,True,True,True,True,True,True,observed order matches scan_order,True,not an N40 case,0,PASS,
16,S3R69SNR_N16_B01_n16_run66_local,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run69_smallN_recovery_focused_batch40_v01\N16S3R69SNR_N16_B01_n16_run66_local\J2D_S3R69SNR_N16_B01_n16_run66_local.inp,True,58877,True,True,511,432,True,True,True,True,True,True,True,True,observed order matches scan_order,True,not an N40 case,0,PASS,
16,S3R69SNR_N16_B02_n16_run66_local,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run69_smallN_recovery_focused_batch40_v01\N16S3R69SNR_N16_B02_n16_run66_local\J2D_S3R69SNR_N16_B02_n16_run66_local.inp,True,58877,True,True,511,432,True,True,True,True,True,True,True,True,observed order matches scan_order,True,not an N40 case,0,PASS,
16,S3R69SNR_N16_B03_n16_run66_local,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run69_smallN_recovery_focused_batch40_v01\N16S3R69SNR_N16_B03_n16_run66_local\J2D_S3R69SNR_N16_B03_n16_run66_local.inp,True,58877,True,True,511,432,True,True,True,True,True,True,True,True,observed order matches scan_order,True,not an N40 case,0,PASS,
16,S3R69SNR_N16_B04_n16_diversity,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run69_smallN_recovery_focused_batch40_v01\N16S3R69SNR_N16_B04_n16_diversity\J2D_S3R69SNR_N16_B04_n16_diversity.inp,True,58875,True,True,511,432,True,True,True,True,True,True,True,True,observed order matches scan_order,True,not an N40 case,0,PASS,
16,S3R69SNR_N16_B05_n16_penalty,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run69_smallN_recovery_focused_batch40_v01\N16S3R69SNR_N16_B05_n16_penalty\J2D_S3R69SNR_N16_B05_n16_penalty.inp,True,58873,True,True,511,432,True,True,True,True,True,True,True,True,observed order matches scan_order,True,not an N40 case,0,PASS,
16,S3R69SNR_N16_B06_n16_penalty,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run69_smallN_recovery_focused_batch40_v01\N16S3R69SNR_N16_B06_n16_penalty\J2D_S3R69SNR_N16_B06_n16_penalty.inp,True,58873,True,True,511,432,True,True,True,True,True,True,True,True,observed order matches scan_order,True,not an N40 case,0,PASS,
16,S3R69SNR_N16_B07_n16_reward_bal,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run69_smallN_recovery_focused_batch40_v01\N16S3R69SNR_N16_B07_n16_reward_bal\J2D_S3R69SNR_N16_B07_n16_reward_bal.inp,True,58876,True,True,511,432,True,True,True,True,True,True,True,True,observed order matches scan_order,True,not an N40 case,0,PASS,
