run_id,batch_name,n,handoff_strategy_name,job_name,case_dir,scan_order_json,cae_path,inp_path,jnl_path,generation_status,inp_check_status,teacher_validated,solver_status,notes
run_14_batch20_cae_inp_generation,stage3_run13_batch20_surrogate_screened_v01,24,S3B20_N24_B01_surrogate_top,J2D_S3B20_N24_B01_surrogate_top,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run13_batch20_surrogate_screened_v01\N24S3B20_N24_B01_surrogate_top,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run13_batch20_surrogate_screened_v01\N24S3B20_N24_B01_surrogate_top\scan_order_S3B20_N24_B01_surrogate_top.json,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run13_batch20_surrogate_screened_v01\N24S3B20_N24_B01_surrogate_top\J2D_S3B20_N24_B01_surrogate_top.cae,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run13_batch20_surrogate_screened_v01\N24S3B20_N24_B01_surrogate_top\J2D_S3B20_N24_B01_surrogate_top.inp,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run13_batch20_surrogate_screened_v01\N24S3B20_N24_B01_surrogate_top\J2D_S3B20_N24_B01_surrogate_top.jnl,GENERATED,PASS,False,NOT_SUBMITTED,Run14 CAE/INP generated only. Not teacher-validated. No solver submitted.
run_14_batch20_cae_inp_generation,stage3_run13_batch20_surrogate_screened_v01,24,S3B20_N24_B02_diversity_top,J2D_S3B20_N24_B02_diversity_top,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run13_batch20_surrogate_screened_v01\N24S3B20_N24_B02_diversity_top,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run13_batch20_surrogate_screened_v01\N24S3B20_N24_B02_diversity_top\scan_order_S3B20_N24_B02_diversity_top.json,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run13_batch20_surrogate_screened_v01\N24S3B20_N24_B02_diversity_top\J2D_S3B20_N24_B02_diversity_top.cae,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run13_batch20_surrogate_screened_v01\N24S3B20_N24_B02_diversity_top\J2D_S3B20_N24_B02_diversity_top.inp,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run13_batch20_surrogate_screened_v01\N24S3B20_N24_B02_diversity_top\J2D_S3B20_N24_B02_diversity_top.jnl,GENERATED,PASS,False,NOT_SUBMITTED,Run14 CAE/INP generated only. Not teacher-validated. No solver submitted.
run_14_batch20_cae_inp_generation,stage3_run13_batch20_surrogate_screened_v01,24,S3B20_N24_B03_method_c_inspired,J2D_S3B20_N24_B03_method_c_inspired,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run13_batch20_surrogate_screened_v01\N24S3B20_N24_B03_method_c_inspired,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run13_batch20_surrogate_screened_v01\N24S3B20_N24_B03_method_c_inspired\scan_order_S3B20_N24_B03_method_c_inspired.json,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run13_batch20_surrogate_screened_v01\N24S3B20_N24_B03_method_c_inspired\J2D_S3B20_N24_B03_method_c_inspired.cae,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run13_batch20_surrogate_screened_v01\N24S3B20_N24_B03_method_c_inspired\J2D_S3B20_N24_B03_method_c_inspired.inp,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run13_batch20_surrogate_screened_v01\N24S3B20_N24_B03_method_c_inspired\J2D_S3B20_N24_B03_method_c_inspired.jnl,GENERATED,PASS,False,NOT_SUBMITTED,Run14 CAE/INP generated only. Not teacher-validated. No solver submitted.
run_14_batch20_cae_inp_generation,stage3_run13_batch20_surrogate_screened_v01,24,S3B20_N24_B04_surrogate_top,J2D_S3B20_N24_B04_surrogate_top,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run13_batch20_surrogate_screened_v01\N24S3B20_N24_B04_surrogate_top,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run13_batch20_surrogate_screened_v01\N24S3B20_N24_B04_surrogate_top\scan_order_S3B20_N24_B04_surrogate_top.json,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run13_batch20_surrogate_screened_v01\N24S3B20_N24_B04_surrogate_top\J2D_S3B20_N24_B04_surrogate_top.cae,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run13_batch20_surrogate_screened_v01\N24S3B20_N24_B04_surrogate_top\J2D_S3B20_N24_B04_surrogate_top.inp,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run13_batch20_surrogate_screened_v01\N24S3B20_N24_B04_surrogate_top\J2D_S3B20_N24_B04_surrogate_top.jnl,GENERATED,PASS,False,NOT_SUBMITTED,Run14 CAE/INP generated only. Not teacher-validated. No solver submitted.
run_14_batch20_cae_inp_generation,stage3_run13_batch20_surrogate_screened_v01,24,S3B20_N24_B05_surrogate_top,J2D_S3B20_N24_B05_surrogate_top,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run13_batch20_surrogate_screened_v01\N24S3B20_N24_B05_surrogate_top,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run13_batch20_surrogate_screened_v01\N24S3B20_N24_B05_surrogate_top\scan_order_S3B20_N24_B05_surrogate_top.json,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run13_batch20_surrogate_screened_v01\N24S3B20_N24_B05_surrogate_top\J2D_S3B20_N24_B05_surrogate_top.cae,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run13_batch20_surrogate_screened_v01\N24S3B20_N24_B05_surrogate_top\J2D_S3B20_N24_B05_surrogate_top.inp,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run13_batch20_surrogate_screened_v01\N24S3B20_N24_B05_surrogate_top\J2D_S3B20_N24_B05_surrogate_top.jnl,GENERATED,PASS,False,NOT_SUBMITTED,Run14 CAE/INP generated only. Not teacher-validated. No solver submitted.
run_14_batch20_cae_inp_generation,stage3_run13_batch20_surrogate_screened_v01,40,S3B20_N40_B01_surrogate_top,J2D_S3B20_N40_B01_surrogate_top,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run13_batch20_surrogate_screened_v01\N40S3B20_N40_B01_surrogate_top,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run13_batch20_surrogate_screened_v01\N40S3B20_N40_B01_surrogate_top\scan_order_S3B20_N40_B01_surrogate_top.json,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run13_batch20_surrogate_screened_v01\N40S3B20_N40_B01_surrogate_top\J2D_S3B20_N40_B01_surrogate_top.cae,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run13_batch20_surrogate_screened_v01\N40S3B20_N40_B01_surrogate_top\J2D_S3B20_N40_B01_surrogate_top.inp,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run13_batch20_surrogate_screened_v01\N40S3B20_N40_B01_surrogate_top\J2D_S3B20_N40_B01_surrogate_top.jnl,GENERATED,PASS,False,NOT_SUBMITTED,Run14 CAE/INP generated only. Not teacher-validated. No solver submitted.
run_14_batch20_cae_inp_generation,stage3_run13_batch20_surrogate_screened_v01,40,S3B20_N40_B02_diversity_top,J2D_S3B20_N40_B02_diversity_top,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run13_batch20_surrogate_screened_v01\N40S3B20_N40_B02_diversity_top,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run13_batch20_surrogate_screened_v01\N40S3B20_N40_B02_diversity_top\scan_order_S3B20_N40_B02_diversity_top.json,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run13_batch20_surrogate_screened_v01\N40S3B20_N40_B02_diversity_top\J2D_S3B20_N40_B02_diversity_top.cae,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run13_batch20_surrogate_screened_v01\N40S3B20_N40_B02_diversity_top\J2D_S3B20_N40_B02_diversity_top.inp,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run13_batch20_surrogate_screened_v01\N40S3B20_N40_B02_diversity_top\J2D_S3B20_N40_B02_diversity_top.jnl,GENERATED,PASS,False,NOT_SUBMITTED,Run14 CAE/INP generated only. Not teacher-validated. No solver submitted.
run_14_batch20_cae_inp_generation,stage3_run13_batch20_surrogate_screened_v01,40,S3B20_N40_B03_method_c_inspired,J2D_S3B20_N40_B03_method_c_inspired,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run13_batch20_surrogate_screened_v01\N40S3B20_N40_B03_method_c_inspired,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run13_batch20_surrogate_screened_v01\N40S3B20_N40_B03_method_c_inspired\scan_order_S3B20_N40_B03_method_c_inspired.json,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run13_batch20_surrogate_screened_v01\N40S3B20_N40_B03_method_c_inspired\J2D_S3B20_N40_B03_method_c_inspired.cae,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run13_batch20_surrogate_screened_v01\N40S3B20_N40_B03_method_c_inspired\J2D_S3B20_N40_B03_method_c_inspired.inp,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run13_batch20_surrogate_screened_v01\N40S3B20_N40_B03_method_c_inspired\J2D_S3B20_N40_B03_method_c_inspired.jnl,GENERATED,PASS,False,NOT_SUBMITTED,Run14 CAE/INP generated only. Not teacher-validated. No solver submitted.
run_14_batch20_cae_inp_generation,stage3_run13_batch20_surrogate_screened_v01,40,S3B20_N40_B04_surrogate_top,J2D_S3B20_N40_B04_surrogate_top,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run13_batch20_surrogate_screened_v01\N40S3B20_N40_B04_surrogate_top,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run13_batch20_surrogate_screened_v01\N40S3B20_N40_B04_surrogate_top\scan_order_S3B20_N40_B04_surrogate_top.json,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run13_batch20_surrogate_screened_v01\N40S3B20_N40_B04_surrogate_top\J2D_S3B20_N40_B04_surrogate_top.cae,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run13_batch20_surrogate_screened_v01\N40S3B20_N40_B04_surrogate_top\J2D_S3B20_N40_B04_surrogate_top.inp,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run13_batch20_surrogate_screened_v01\N40S3B20_N40_B04_surrogate_top\J2D_S3B20_N40_B04_surrogate_top.jnl,GENERATED,PASS,False,NOT_SUBMITTED,Run14 CAE/INP generated only. Not teacher-validated. No solver submitted.
run_14_batch20_cae_inp_generation,stage3_run13_batch20_surrogate_screened_v01,40,S3B20_N40_B05_surrogate_top,J2D_S3B20_N40_B05_surrogate_top,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run13_batch20_surrogate_screened_v01\N40S3B20_N40_B05_surrogate_top,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run13_batch20_surrogate_screened_v01\N40S3B20_N40_B05_surrogate_top\scan_order_S3B20_N40_B05_surrogate_top.json,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run13_batch20_surrogate_screened_v01\N40S3B20_N40_B05_surrogate_top\J2D_S3B20_N40_B05_surrogate_top.cae,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run13_batch20_surrogate_screened_v01\N40S3B20_N40_B05_surrogate_top\J2D_S3B20_N40_B05_surrogate_top.inp,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run13_batch20_surrogate_screened_v01\N40S3B20_N40_B05_surrogate_top\J2D_S3B20_N40_B05_surrogate_top.jnl,GENERATED,PASS,False,NOT_SUBMITTED,Run14 CAE/INP generated only. Not teacher-validated. No solver submitted.
