strategy_name,final_expansion_batch,global_candidate_index,n,order_json,order_compact,order_hash,ppo_checkpoint,ppo_version_source,ppo_generation_mode,seed,selected_by_bucket,predicted_reward_available,predicted_quality_score,mean_abs_jump,max_abs_jump,long_jump_count,adjacent_fraction,total_travel_proxy,jump_variance,local_continuity_score,path_complexity_score,novelty_distance_score,min_hamming_to_combined552_sameN,min_hamming_to_conventional_baseline,nearest_conventional_baseline,candidate_source,teacher_validated,abaqus_validated,notes,stageT_pool_source,source_row_index,parity_switch_fraction,early_center_bias,early_edge_bias,duplicate_vs_combined552,duplicate_vs_ppo_v01,duplicate_vs_ppo_v02K2,duplicate_vs_ppo_v03,selected_already
PPOFINAL_N12_B001_quality,final_expansion_batch01,1,12,"[11, 1, 3, 5, 9, 7, 0, 2, 4, 6, 8, 10]","11,1,3,5,9,7,0,2,4,6,8,10",686c7b277df8777a,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v01\ppo_training\checkpoints\maskable_ppo_lam_scan_order_final.zip,v01,stochastic,203806621,quality,True,0.85737566877453,3.363636363636364,10.0,3,0.0,37.0,6.595041322314051,-0.3057851239669422,0.3348075040411629,2.0,2,5.0,odd_even,PPO_final_expansion_checkpoint_inference,False,False,final expansion PPO candidate; not physically validated yet.,fresh_v01_checkpoint_inference_lowN_topup,331,0.0909090909090909,0.2424242424242423,0.7575757575757576,False,False,False,False,False
PPOFINAL_N12_B002_quality,final_expansion_batch01,2,12,"[11, 1, 3, 7, 9, 5, 0, 4, 2, 6, 8, 10]","11,1,3,7,9,5,0,4,2,6,8,10",cc123ba504b254bf,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v01\ppo_training\checkpoints\maskable_ppo_lam_scan_order_final.zip,v01,stochastic,203808615,quality,True,0.716327881474389,3.727272727272727,10.0,6,0.0,41.0,5.107438016528925,-0.33884297520661155,0.352816292147622,2.0,2,6.0,odd_even,PPO_final_expansion_checkpoint_inference,False,False,Stage T repair replacement from rollout pool; original duplicate physical order removed; not physically validated yet.,fresh_v01_checkpoint_inference_lowN_topup,2325,0.09090909090909091,0.24242424242424232,0.7575757575757576,False,False,False,False,False
PPOFINAL_N12_B003_quality,final_expansion_batch01,3,12,"[11, 1, 3, 5, 7, 9, 0, 2, 4, 6, 8, 10]","11,1,3,5,7,9,0,2,4,6,8,10",27e98181a3a86fe0,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v01\ppo_training\checkpoints\maskable_ppo_lam_scan_order_final.zip,v01,stochastic,203806853,quality,True,0.8510001818485698,3.363636363636364,10.0,2,0.0,37.0,8.41322314049587,-0.3057851239669422,0.3498338000591945,3.0,3,6.0,odd_even,PPO_final_expansion_checkpoint_inference,False,False,final expansion PPO candidate; not physically validated yet.,fresh_v01_checkpoint_inference_lowN_topup,563,0.0909090909090909,0.2424242424242423,0.7575757575757576,False,False,False,False,False
PPOFINAL_N12_B004_quality,final_expansion_batch01,4,12,"[11, 3, 1, 9, 7, 5, 0, 4, 2, 6, 8, 10]","11,3,1,9,7,5,0,4,2,6,8,10",828a8c6213d9c794,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v01\ppo_training\checkpoints\maskable_ppo_lam_scan_order_final.zip,v01,stochastic,203807974,quality,True,0.7122092001358132,3.727272727272727,8.0,5,0.0,41.0,5.107438016528926,-0.33884297520661155,0.352816292147622,5.0,5,5.0,odd_even,PPO_final_expansion_checkpoint_inference,False,False,Stage T repair replacement from rollout pool; original duplicate physical order removed; not physically validated yet.,fresh_v01_checkpoint_inference_lowN_topup,1684,0.09090909090909091,0.24242424242424232,0.7575757575757576,False,False,False,False,False
PPOFINAL_N12_B005_quality,final_expansion_batch01,5,12,"[11, 3, 1, 5, 7, 9, 0, 2, 4, 6, 8, 10]","11,3,1,5,7,9,0,2,4,6,8,10",81db742fcb6d72ea,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v01\ppo_training\checkpoints\maskable_ppo_lam_scan_order_final.zip,v01,stochastic,203806865,quality,True,0.8466730989428595,3.363636363636364,9.0,3,0.0,37.0,6.231404958677686,-0.3057851239669422,0.3318022448375566,4.0,4,5.0,odd_even,PPO_final_expansion_checkpoint_inference,False,False,final expansion PPO candidate; not physically validated yet.,fresh_v01_checkpoint_inference_lowN_topup,575,0.0909090909090909,0.2424242424242423,0.7575757575757576,False,False,False,False,False
PPOFINAL_N12_B006_quality,final_expansion_batch01,6,12,"[3, 11, 1, 9, 7, 5, 0, 2, 4, 6, 8, 10]","3,11,1,9,7,5,0,2,4,6,8,10",53949277fd9b496e,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v01\ppo_training\checkpoints\maskable_ppo_lam_scan_order_final.zip,v01,stochastic,203806653,quality,True,0.7101136064897512,4.090909090909091,10.0,4,0.0,45.0,8.809917355371901,-0.371900826446281,0.41371832525100743,4.0,4,3.0,odd_even,PPO_final_expansion_checkpoint_inference,False,False,Stage T repair replacement from rollout pool; original duplicate physical order removed; not physically validated yet.,fresh_v01_checkpoint_inference_lowN_topup,363,0.09090909090909091,0.24242424242424232,0.7575757575757576,False,False,False,False,False
PPOFINAL_N12_B007_quality,final_expansion_batch01,7,12,"[1, 11, 3, 9, 7, 5, 0, 2, 4, 6, 8, 10]","1,11,3,9,7,5,0,2,4,6,8,10",0640bd5f828e220b,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v01\ppo_training\checkpoints\maskable_ppo_lam_scan_order_final.zip,v01,stochastic,21460760,quality,True,0.7101136064897512,3.909090909090909,10.0,4,0.0,43.0,7.719008264462812,-0.35537190082644626,0.3895510324886734,3.0,3,4.0,odd_even,PPO_final_expansion_checkpoint_inference,False,False,Stage T repair replacement from rollout pool; original duplicate physical order removed; not physically validated yet.,existing_v01_rollout_pool,153,0.0909090909090909,0.7575757575757577,0.2424242424242424,False,False,False,False,False
PPOFINAL_N12_B008_quality,final_expansion_batch01,8,12,"[11, 1, 3, 9, 7, 5, 0, 2, 4, 8, 6, 10]","11,1,3,9,7,5,0,2,4,8,6,10",a98151af53853134,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v01\ppo_training\checkpoints\maskable_ppo_lam_scan_order_final.zip,v01,stochastic,21460701,quality,True,0.679327198722953,3.727272727272727,10.0,5,0.0,41.0,5.834710743801653,-0.33884297520661155,0.3588268105548346,3.0,3,8.0,odd_even,PPO_final_expansion_checkpoint_inference,False,False,Stage T repair replacement from rollout pool; original duplicate physical order removed; not physically validated yet.,existing_v01_rollout_pool,94,0.0909090909090909,0.7575757575757577,0.2424242424242424,False,False,False,False,False
PPOFINAL_N12_B009_quality,final_expansion_batch01,9,12,"[11, 3, 1, 9, 7, 5, 0, 2, 4, 6, 10, 8]","11,3,1,9,7,5,0,2,4,6,10,8",4848e2f9defa673a,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v01\ppo_training\checkpoints\maskable_ppo_lam_scan_order_final.zip,v01,stochastic,203806765,quality,True,0.7636411363514938,3.5454545454545454,8.0,4,0.0,39.0,5.338842975206613,-0.3223140495867768,0.339577214671129,5.0,5,7.0,odd_even,PPO_final_expansion_checkpoint_inference,False,False,final expansion PPO candidate; not physically validated yet.,fresh_v01_checkpoint_inference_lowN_topup,475,0.0909090909090909,0.2424242424242423,0.7575757575757576,False,False,False,False,False
PPOFINAL_N12_B010_quality,final_expansion_batch01,10,12,"[11, 1, 3, 9, 7, 5, 0, 2, 6, 4, 8, 10]","11,1,3,9,7,5,0,2,6,4,8,10",2552cedaec804bdc,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v01\ppo_training\checkpoints\maskable_ppo_lam_scan_order_final.zip,v01,stochastic,21460751,quality,True,0.6784860971334526,3.727272727272727,10.0,5,0.0,41.0,5.834710743801653,-0.33884297520661155,0.3588268105548346,4.0,4,5.0,odd_even,PPO_final_expansion_checkpoint_inference,False,False,Stage T repair replacement from rollout pool; original duplicate physical order removed; not physically validated yet.,existing_v01_rollout_pool,144,0.0909090909090909,0.7575757575757577,0.2424242424242424,False,False,False,False,False
