n,prefix_name,feature_name,min,max,mean,finite_count,expected_range,pass
40,odd_even_like_early,local_heat_proxy_norm,0.0,1.0,0.2655394494499293,40,"[0,1]",True
40,center_out_like_early,x_norm,0.0,1.0,0.5,40,"[0,1]",True
40,center_out_like_early,distance_to_left_edge_norm,0.0,1.0,0.5,40,"[0,1]",True
40,center_out_like_early,distance_to_right_edge_norm,0.0,1.0,0.5,40,"[0,1]",True
40,center_out_like_early,is_edge_track,0.0,1.0,0.2,40,"[0,1]",True
40,center_out_like_early,is_center_track,0.0,1.0,0.05,40,"[0,1]",True
40,center_out_like_early,current_scanned_flag,0.0,1.0,0.1,40,"[0,1]",True
40,center_out_like_early,current_available_flag,1.0,1.0,1.0,40,"[0,1]",True
40,center_out_like_early,step_fraction,0.1,0.1,0.1,40,"[0,1]",True
40,center_out_like_early,remaining_fraction,0.9,0.9,0.9,40,"[0,1]",True
40,center_out_like_early,time_since_left_neighbor_scanned_norm,0.0,0.1,0.00625,40,"[0,1]",True
40,center_out_like_early,time_since_right_neighbor_scanned_norm,0.0,0.1,0.00625,40,"[0,1]",True
40,center_out_like_early,neighbor_scanned_count_norm,0.0,1.0,0.1,40,"[0,1]",True
40,center_out_like_early,recent_neighbor_scanned_flag,0.0,1.0,0.1,40,"[0,1]",True
40,center_out_like_early,local_heat_proxy_norm,0.0,1.0,0.24246272008263886,40,"[0,1]",True
40,maximin_like_early,x_norm,0.0,1.0,0.5,40,"[0,1]",True
40,maximin_like_early,distance_to_left_edge_norm,0.0,1.0,0.5,40,"[0,1]",True
40,maximin_like_early,distance_to_right_edge_norm,0.0,1.0,0.5,40,"[0,1]",True
40,maximin_like_early,is_edge_track,0.0,1.0,0.2,40,"[0,1]",True
40,maximin_like_early,is_center_track,0.0,1.0,0.05,40,"[0,1]",True
40,maximin_like_early,current_scanned_flag,0.0,1.0,0.1,40,"[0,1]",True
40,maximin_like_early,current_available_flag,1.0,1.0,1.0,40,"[0,1]",True
40,maximin_like_early,step_fraction,0.1,0.1,0.1,40,"[0,1]",True
40,maximin_like_early,remaining_fraction,0.9,0.9,0.9,40,"[0,1]",True
40,maximin_like_early,time_since_left_neighbor_scanned_norm,0.0,0.1,0.004375,40,"[0,1]",True
40,maximin_like_early,time_since_right_neighbor_scanned_norm,0.0,0.075,0.00375,40,"[0,1]",True
40,maximin_like_early,neighbor_scanned_count_norm,0.0,0.5,0.075,40,"[0,1]",True
40,maximin_like_early,recent_neighbor_scanned_flag,0.0,1.0,0.1,40,"[0,1]",True
40,maximin_like_early,local_heat_proxy_norm,0.0,1.0,0.3076746365029748,40,"[0,1]",True
