candidate_id,strategy_name,n,candidate_source,generation_method,selection_bucket,priority_role,surrogate_prediction,predicted_u2_guarded_score,predicted_peeq_guarded_score,predicted_surfaceT_guarded_score,predicted_mises_guarded_score,strict_penalty_guard_score,penalty_repair_score,two_stage_guarded_score,two_stage_penalty_repair_score,no_penalty_worse_than_median_score,N24_maintenance_score,N40_u2_reward_retention_score,N40_penalty_repair_score,N12_recovery_score,N16_recovery_score,variable_N_recovery_score,N40_followup_score,gnn_reward_prediction,graph_pointer_policy_score,hybrid_score,constrained_score,uncertainty_score,gnn_vs_surrogate_disagreement,novelty_distance,nearest_existing_teacher_strategy,order_json,order_compact,order_hash,first_track_norm,last_track_norm,normalized_mean_jump,normalized_max_jump,adjacent_jump_count,long_jump_count,parity_switch_rate,monotonicity_fraction,direction_reversal_count,odd_even_transition_count,mean_signed_jump,jump_std_norm,edge_visit_early_fraction,center_visit_early_fraction,pred_rank_constrained_within_n,batch_option,handoff_strategy_name,teacher_validated,teacher_validation_status
R68_N12_C00008,N12_R68_N12_C00008_N12_recovery_surrogate_top,12.0,N12_recovery_surrogate_top,existing_pool_selection,N12_recovery_surrogate_top,constrained_reward_balance,0.7396519687146348,0.7366767621030645,0.7396519687146348,0.7381519687146347,0.7396519687146348,0.7381618860700068,0.7383844067311637,0.7377793550782712,0.7382693964005853,0.7381519687146347,0.7379393654088496,0.7379393654088496,0.7383844067311637,0.7377906050782712,0.7377906050782712,0.7377906050782712,0.7381611360700068,0.7118840717842312,0.743801652892562,0.7386094067311637,0.7378276581774447,0.0034583866907058392,0.0277678969304036,0.16666666666666666,S3R64VNR_N12_B05_n12_anchor_local,"[11,5,9,7,3,1,0,2,4,6,10,8]",11-5-9-7-3-1-0-2-4-6-10-8,2bcf9d01fc5a7645,1.0,0.7272727272727273,0.25619834710743805,0.5454545454545454,1.0,1.0,0.09090909090909091,0.09090909090909091,4.0,1.0,-0.024793388429752063,0.12749792248381417,0.3333333333333333,0.3333333333333333,7.0,smallN_recovery_focused_batch40,S3R68SMN_N12_B01_n12_recovery_surrogate_top,False,NOT_RUN
R68_N12_C00185,N12_R68_N12_C00185_N12_recovery_surrogate_top,12.0,N12_recovery_surrogate_top,existing_pool_selection,N12_recovery_surrogate_top,constrained_reward_balance,0.6934080339495408,0.6917551413875573,0.6934080339495408,0.6934080339495408,0.6934080339495408,0.6927468769247473,0.6929121661809458,0.6924989430404499,0.6928295215528466,0.6934080339495408,0.692581587668549,0.692581587668549,0.6929121661809458,0.6924989430404499,0.6924989430404499,0.69249894304045,0.6927468769247475,0.6674898944097409,0.7768595041322314,0.6929121661809458,0.6925237364288797,0.013397957707706711,0.025918139539799823,0.16666666666666666,S3R64VNR_N12_B05_n12_anchor_local,"[5,11,9,7,3,1,0,2,4,6,8,10]",5-11-9-7-3-1-0-2-4-6-8-10,47704a40c7483365,0.45454545454545453,0.9090909090909091,0.2231404958677686,0.5454545454545454,1.0,1.0,0.09090909090909091,0.09090909090909091,2.0,1.0,0.04132231404958678,0.11861735615212664,0.3333333333333333,0.3333333333333333,18.0,smallN_recovery_focused_batch40,S3R68SMN_N12_B02_n12_recovery_surrogate_top,False,NOT_RUN
R68_N12_C01405,N12_R68_N12_C01405_N12_recovery_surrogate_top,12.0,N12_recovery_surrogate_top,existing_pool_selection,N12_recovery_surrogate_top,constrained_reward_balance,0.6893839766206922,0.6870699270339153,0.6893839766206922,0.6848839766206922,0.6893839766206922,0.6875583567859814,0.6875647617446592,0.687402499347965,0.6875503092653202,0.6848839766206922,0.6875519518273038,0.6875519518273038,0.6875647617446592,0.687436249347965,0.687436249347965,0.6874362493479651,0.6875561067859814,0.6636267993740463,0.7603305785123967,0.6882397617446592,0.6874482350917667,0.01303378919553444,0.025757177246645835,0.3333333333333333,S3R64VNR_N12_B05_n12_anchor_local,"[11,7,9,5,3,1,0,2,6,4,8,10]",11-7-9-5-3-1-0-2-6-4-8-10,b277a2943a46d29a,1.0,0.9090909090909091,0.23966942148760328,0.36363636363636365,1.0,0.0,0.09090909090909091,0.09090909090909091,5.0,1.0,-0.008264462809917356,0.09708545557413827,0.3333333333333333,0.0,25.0,smallN_recovery_focused_batch40,S3R68SMN_N12_B03_n12_recovery_surrogate_top,False,NOT_RUN
R68_N12_C00059,N12_R68_N12_C00059_N12_recovery_surrogate_top,12.0,N12_recovery_surrogate_top,existing_pool_selection,N12_recovery_surrogate_top,constrained_reward_balance,0.6893839766206922,0.6857476129843286,0.6893839766206922,0.6848839766206922,0.6893839766206922,0.6870294311661468,0.6871680675297831,0.6866752266206922,0.687087499347965,0.6848839766206922,0.6868907948025105,0.6868907948025105,0.6871680675297831,0.6867089766206922,0.6867089766206922,0.6867089766206922,0.6870271811661468,0.6636267993740463,0.7272727272727273,0.6878430675297832,0.6867407970752376,0.0187056138528405,0.025757177246645835,0.16666666666666666,S3R64VNR_N12_B05_n12_anchor_local,"[11,5,9,7,3,1,0,4,2,6,8,10]",11-5-9-7-3-1-0-4-2-6-8-10,bbd8e4e8b7d45038,1.0,0.9090909090909091,0.2727272727272727,0.5454545454545454,1.0,1.0,0.09090909090909091,0.09090909090909091,5.0,1.0,-0.008264462809917356,0.128564869306645,0.3333333333333333,0.3333333333333333,28.0,smallN_recovery_focused_batch40,S3R68SMN_N12_B04_n12_recovery_surrogate_top,False,NOT_RUN
R68_N12_C00235,N12_R68_N12_C00235_N12_local_search_around_Run66_best,12.0,N12_local_search_around_Run66_best,offline_mutation_or_pointer_proxy,N12_local_search_around_Run66_best,constrained_reward_balance,0.7068241536396404,0.70186547595369,0.6888696081850949,0.7068241536396404,0.7068241536396404,0.6994543189288965,0.6999501866974915,0.7004610854578222,0.7004204346313759,0.6888696081850949,0.6998561784330287,0.6998561784330287,0.6999501866974915,0.7005059718214586,0.7005059718214586,0.7005059718214586,0.7000019325652601,0.6803693693122366,0.6942148760330578,0.7035410957884007,0.7004555678958386,0.02102303658778376,0.02645478432740378,0.3333333333333333,S3R64VNR_N12_B03_n12_anchor_local,"[11,1,3,7,9,5,0,2,4,6,8,10]",11-1-3-7-9-5-0-2-4-6-8-10,3582924229f679af,1.0,0.9090909090909091,0.3057851239669422,0.9090909090909091,0.0,1.0,0.09090909090909091,0.0,3.0,1.0,-0.008264462809917356,0.21328079174485853,0.3333333333333333,0.0,16.0,smallN_recovery_focused_batch40,S3R68SMN_N12_B05_n12_around_Run66_best,False,NOT_RUN
R68_N12_C02008,N12_R68_N12_C02008_N12_local_search_around_Run66_best,12.0,N12_local_search_around_Run66_best,offline_mutation_or_pointer_proxy,N12_local_search_around_Run66_best,constrained_reward_balance,0.6913855946982911,0.6884103880867208,0.6825219583346547,0.6913855946982911,0.6913855946982911,0.687536421144572,0.6878339418057291,0.6879543446982911,0.6880397269296961,0.6825219583346547,0.6876820823015968,0.6876820823015968,0.6878339418057291,0.6879765037892003,0.6879765037892003,0.6879765037892003,0.687806762053663,0.6655483527285413,0.743801652892562,0.6896066690784564,0.6879595296156465,0.009088570774074062,0.02583724196974979,0.25,S3R64VNR_N12_B05_n12_anchor_local,"[9,5,7,11,3,1,0,2,4,6,8,10]",9-5-7-11-3-1-0-2-4-6-8-10,088eeef59bedd808,0.8181818181818182,0.9090909090909091,0.25619834710743805,0.7272727272727273,1.0,1.0,0.09090909090909091,0.09090909090909091,3.0,1.0,0.008264462809917356,0.16815694173037857,0.0,0.3333333333333333,23.0,smallN_recovery_focused_batch40,S3R68SMN_N12_B06_n12_around_Run66_best,False,NOT_RUN
R68_N12_C01401,N12_R68_N12_C01401_N12_local_search_around_Run66_best,12.0,N12_local_search_around_Run66_best,offline_mutation_or_pointer_proxy,N12_local_search_around_Run66_best,constrained_reward_balance,0.6893839766206922,0.6870699270339153,0.6893839766206922,0.6848839766206922,0.6893839766206922,0.6875583567859814,0.6875647617446592,0.687402499347965,0.6875503092653202,0.6848839766206922,0.6875519518273038,0.6875519518273038,0.6875647617446592,0.687436249347965,0.687436249347965,0.6874362493479651,0.6875561067859814,0.6636267993740463,0.7603305785123967,0.6882397617446592,0.6874482350917667,0.012974356267149396,0.025757177246645835,0.3333333333333333,S3R64VNR_N12_B05_n12_anchor_local,"[11,9,5,7,3,1,0,2,6,4,8,10]",11-9-5-7-3-1-0-2-6-4-8-10,8c492058b6c06042,1.0,0.9090909090909091,0.23966942148760328,0.36363636363636365,1.0,0.0,0.09090909090909091,0.09090909090909091,5.0,1.0,-0.008264462809917356,0.09708545557413827,0.3333333333333333,0.3333333333333333,24.0,smallN_recovery_focused_batch40,S3R68SMN_N12_B07_n12_around_Run66_best,False,NOT_RUN
R68_N12_C01647,N12_R68_N12_C01647_N12_recovery_u2_safe,12.0,N12_recovery_u2_safe,offline_mutation_or_pointer_proxy,N12_recovery_u2_safe,constrained_reward_balance,0.7083032883286331,0.7046669246922695,0.6994396519649967,0.706803288328633,0.7083032883286331,0.7038896519649968,0.704178288328633,0.7042721519649968,0.7043847656013603,0.6994396519649967,0.7040441974195423,0.7040441974195423,0.704178288328633,0.7043055610559059,0.7043055610559059,0.7043055610559059,0.7041592428740876,0.6817893386136695,0.7272727272727273,0.7061760156013605,0.7042909292377241,0.024454406599243368,0.02651394971496357,0.16666666666666666,S3R19B28_N12_B01_surrogate_top,"[7,11,9,1,5,3,2,0,4,6,8,10]",7-11-9-1-5-3-2-0-4-6-8-10,fc3ffeccefe451e9,0.6363636363636364,0.9090909090909091,0.2727272727272727,0.7272727272727273,1.0,1.0,0.09090909090909091,0.09090909090909091,4.0,1.0,0.024793388429752063,0.16896734132447003,0.3333333333333333,0.0,14.0,smallN_recovery_focused_batch40,S3R68SMN_N12_B08_n12_recovery_u2_safe,False,NOT_RUN
R68_N12_C03452,N12_R68_N12_C03452_N12_recovery_u2_safe,12.0,N12_recovery_u2_safe,offline_mutation_or_pointer_proxy,N12_recovery_u2_safe,constrained_reward_balance,0.704487636999087,0.7021735874123102,0.704487636999087,0.7029876369990871,0.704487636999087,0.7032620171643763,0.703418422123054,0.7029786597263598,0.7033364696437151,0.7029876369990871,0.7031056122056986,0.7031056122056986,0.703418422123054,0.7029899097263598,0.7029899097263598,0.7029899097263599,0.7032612671643762,0.6781263133373053,0.7603305785123967,0.703643422123054,0.7030170454701614,0.006761759856194156,0.026361323661781677,0.25,S3B20_N12_B02_diversity_top,"[7,11,9,3,5,1,0,2,4,6,8,10]",7-11-9-3-5-1-0-2-4-6-8-10,4349b7a3063212de,0.6363636363636364,0.9090909090909091,0.23966942148760328,0.5454545454545454,1.0,1.0,0.09090909090909091,0.09090909090909091,4.0,1.0,0.024793388429752063,0.12424211882952818,0.3333333333333333,0.0,15.0,smallN_recovery_focused_batch40,S3R68SMN_N12_B09_n12_recovery_u2_safe,False,NOT_RUN
R68_N12_C02847,N12_R68_N12_C02847_N12_recovery_u2_safe,12.0,N12_recovery_u2_safe,offline_mutation_or_pointer_proxy,N12_recovery_u2_safe,constrained_reward_balance,0.6970189512847343,0.6927214306235774,0.6790644058301889,0.6955189512847344,0.6970189512847343,0.689613579383908,0.6899683314500237,0.6907832694665526,0.6905053872351475,0.6790644058301889,0.6901565545905195,0.6901565545905195,0.6899683314500237,0.690839405830189,0.690839405830189,0.690839405830189,0.6901604430202715,0.6709563750515267,0.7107438016528926,0.6937842405409328,0.6907715095491972,0.022674607816979192,0.026062576233207624,0.16666666666666666,S3R19B28_N12_B01_surrogate_top,"[9,11,1,7,5,3,2,0,4,6,8,10]",9-11-1-7-5-3-2-0-4-6-8-10,0cdd294bdb18b2f4,0.8181818181818182,0.9090909090909091,0.2892561983471074,0.9090909090909091,1.0,2.0,0.09090909090909091,0.09090909090909091,4.0,1.0,0.008264462809917356,0.22873309922476112,0.3333333333333333,0.0,19.0,smallN_recovery_focused_batch40,S3R68SMN_N12_B10_n12_recovery_u2_safe,False,NOT_RUN
